Component,Reference ID,Countermeasure,Description,Source,State,Test result,Priority,Expiry date,Cost,Owner,Issue ID,MITRE reference,Scope,Standard baseline,Standard baseline section
Kubernetes Pod,C-KUBERNETES-POD-CNT-13,Minimize the admission of HostPath volumes,"CIS Benchmark Recommendation id: 5.2.12
Profile Applicability: Level 1 - Master Node
Description: Do not generally admit containers which make use of hostPath 
volumes.
Rationale: A container which mounts a hostPath volume as part of its 
specification will have access to the filesystem of the underlying cluster 
node. The use of hostPath volumes may allow containers access to privileged 
areas of the node filesystem. There should be at least one admission 
control policy defined which does not permit containers to mount hostPath 
volumes. If you need to run containers which require hostPath volumes, this 
should be defined in a separate policy and you should carefully check to 
ensure that only limited service accounts and users are given permission to 
use that policy.
Impact: Pods defined which make use of hostPath volumes will not be 
permitted unless they are run under a specific policy.
Audit: List the policies in use for each namespace in the cluster, ensure 
that each policy disallows the admission of containers with hostPath 
volumes.
Remediation: Add policies to each namespace in the cluster which has user 
workloads to restrict the admission of containers which use hostPath 
volumes.
Default Value: By default, there are no restrictions on the creation of 
hostPath volumes.
References:

   1. 
      <https://kubernetes.io/docs/concepts/security/pod-security-standards/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1025 - Privileged Process Integrity,Network Security,NIST 800-53 v5,"SI-7 Software, Firmware, and Information Integrity"
Kubernetes Pod,C-KUBERNETES-POD-CNT-13,Minimize the admission of HostPath volumes,"CIS Benchmark Recommendation id: 5.2.12
Profile Applicability: Level 1 - Master Node
Description: Do not generally admit containers which make use of hostPath 
volumes.
Rationale: A container which mounts a hostPath volume as part of its 
specification will have access to the filesystem of the underlying cluster 
node. The use of hostPath volumes may allow containers access to privileged 
areas of the node filesystem. There should be at least one admission 
control policy defined which does not permit containers to mount hostPath 
volumes. If you need to run containers which require hostPath volumes, this 
should be defined in a separate policy and you should carefully check to 
ensure that only limited service accounts and users are given permission to 
use that policy.
Impact: Pods defined which make use of hostPath volumes will not be 
permitted unless they are run under a specific policy.
Audit: List the policies in use for each namespace in the cluster, ensure 
that each policy disallows the admission of containers with hostPath 
volumes.
Remediation: Add policies to each namespace in the cluster which has user 
workloads to restrict the admission of containers which use hostPath 
volumes.
Default Value: By default, there are no restrictions on the creation of 
hostPath volumes.
References:

   1. 
      <https://kubernetes.io/docs/concepts/security/pod-security-standards/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1025 - Privileged Process Integrity,Network Security,NIST 800-53 v5,"SI-7 Software, Firmware, and Information Integrity"
Kubernetes Pod,C-KUBERNETES-POD-CNT-15,Minimize the admission of privileged containers,"CIS Benchmark Recommendation id: 5.2.2

Profile Applicability: Level 1 - Master Node

Description: Do not generally permit containers to be run with the 
securityContext.privileged flag set to true.

Rationale: Privileged containers have access to all Linux Kernel 
capabilities and devices. A container running with full privileges can do 
almost everything that the host can do. This flag exists to allow special 
use-cases, like manipulating the network stack and accessing devices. There 
should be at least one admission control policy defined which does not 
permit privileged containers. If you need to run privileged containers, 
this should be defined in a separate policy and you should carefully check 
to ensure that only limited service accounts and users are given permission 
to use that policy.

Impact: Pods defined with spec.containers[].securityContext.privileged: 
true, spec.initContainers[].securityContext.privileged: true and 
spec.ephemeralContainers[].securityContext.privileged: true will not be 
permitted.

Audit: Run the following command: 
get pods -A -o=jsonpath=$'{range .items[*]}{@.metadata.name}: 
{@..securityContext}\n{end}'

It will produce an inventory of all the privileged use on the cluster, if 
any (please, refer to a sample below). Further grepping can be done to 
automate each specific violation detection.

calico-kube-controllers-57b57c56f-jtmk4: {} << No Elevated Privileges
calico-nodec4xv4: {} {""privileged"":true} {""privileged"":true} 
{""privileged"":true} {""privileged"":true} << Violates 5.2.2
dashboard-metrics-scraper-7bc864c59-2m2xw: 
{""seccompProfile"":{""type"":""RuntimeDefault""}} 
{""allowPrivilegeEscalation"":false,""readOnlyRootFilesystem"":true,""runAsGroup"":2001,""runAsUser"":1001}

Remediation: Add policies to each namespace in the cluster which has user 
workloads to restrict the admission of privileged containers.

Default Value: By default, there are no restrictions on the creation of 
privileged containers.

References:

   1. 
      <https://kubernetes.io/docs/concepts/security/pod-security-standards/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1025 - Privileged Process Integrity,Application Security,NIST 800-53 v5,SC-7 Boundary Protection
Kubernetes Pod,C-KUBERNETES-POD-CNT-15,Minimize the admission of privileged containers,"CIS Benchmark Recommendation id: 5.2.2

Profile Applicability: Level 1 - Master Node

Description: Do not generally permit containers to be run with the 
securityContext.privileged flag set to true.

Rationale: Privileged containers have access to all Linux Kernel 
capabilities and devices. A container running with full privileges can do 
almost everything that the host can do. This flag exists to allow special 
use-cases, like manipulating the network stack and accessing devices. There 
should be at least one admission control policy defined which does not 
permit privileged containers. If you need to run privileged containers, 
this should be defined in a separate policy and you should carefully check 
to ensure that only limited service accounts and users are given permission 
to use that policy.

Impact: Pods defined with spec.containers[].securityContext.privileged: 
true, spec.initContainers[].securityContext.privileged: true and 
spec.ephemeralContainers[].securityContext.privileged: true will not be 
permitted.

Audit: Run the following command: 
get pods -A -o=jsonpath=$'{range .items[*]}{@.metadata.name}: 
{@..securityContext}\n{end}'

It will produce an inventory of all the privileged use on the cluster, if 
any (please, refer to a sample below). Further grepping can be done to 
automate each specific violation detection.

calico-kube-controllers-57b57c56f-jtmk4: {} << No Elevated Privileges
calico-nodec4xv4: {} {""privileged"":true} {""privileged"":true} 
{""privileged"":true} {""privileged"":true} << Violates 5.2.2
dashboard-metrics-scraper-7bc864c59-2m2xw: 
{""seccompProfile"":{""type"":""RuntimeDefault""}} 
{""allowPrivilegeEscalation"":false,""readOnlyRootFilesystem"":true,""runAsGroup"":2001,""runAsUser"":1001}

Remediation: Add policies to each namespace in the cluster which has user 
workloads to restrict the admission of privileged containers.

Default Value: By default, there are no restrictions on the creation of 
privileged containers.

References:

   1. 
      <https://kubernetes.io/docs/concepts/security/pod-security-standards/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1025 - Privileged Process Integrity,Application Security,NIST 800-53 v5,SC-7 Boundary Protection
Kubernetes Pod,C-KUBERNETES-POD-CNT-15,Minimize the admission of privileged containers,"CIS Benchmark Recommendation id: 5.2.2

Profile Applicability: Level 1 - Master Node

Description: Do not generally permit containers to be run with the 
securityContext.privileged flag set to true.

Rationale: Privileged containers have access to all Linux Kernel 
capabilities and devices. A container running with full privileges can do 
almost everything that the host can do. This flag exists to allow special 
use-cases, like manipulating the network stack and accessing devices. There 
should be at least one admission control policy defined which does not 
permit privileged containers. If you need to run privileged containers, 
this should be defined in a separate policy and you should carefully check 
to ensure that only limited service accounts and users are given permission 
to use that policy.

Impact: Pods defined with spec.containers[].securityContext.privileged: 
true, spec.initContainers[].securityContext.privileged: true and 
spec.ephemeralContainers[].securityContext.privileged: true will not be 
permitted.

Audit: Run the following command: 
get pods -A -o=jsonpath=$'{range .items[*]}{@.metadata.name}: 
{@..securityContext}\n{end}'

It will produce an inventory of all the privileged use on the cluster, if 
any (please, refer to a sample below). Further grepping can be done to 
automate each specific violation detection.

calico-kube-controllers-57b57c56f-jtmk4: {} << No Elevated Privileges
calico-nodec4xv4: {} {""privileged"":true} {""privileged"":true} 
{""privileged"":true} {""privileged"":true} << Violates 5.2.2
dashboard-metrics-scraper-7bc864c59-2m2xw: 
{""seccompProfile"":{""type"":""RuntimeDefault""}} 
{""allowPrivilegeEscalation"":false,""readOnlyRootFilesystem"":true,""runAsGroup"":2001,""runAsUser"":1001}

Remediation: Add policies to each namespace in the cluster which has user 
workloads to restrict the admission of privileged containers.

Default Value: By default, there are no restrictions on the creation of 
privileged containers.

References:

   1. 
      <https://kubernetes.io/docs/concepts/security/pod-security-standards/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1025 - Privileged Process Integrity,Application Security,NIST 800-53 v5,SC-7 Boundary Protection
Kubernetes Pod,C-KUBERNETES-POD-CNT-15,Minimize the admission of privileged containers,"CIS Benchmark Recommendation id: 5.2.2

Profile Applicability: Level 1 - Master Node

Description: Do not generally permit containers to be run with the 
securityContext.privileged flag set to true.

Rationale: Privileged containers have access to all Linux Kernel 
capabilities and devices. A container running with full privileges can do 
almost everything that the host can do. This flag exists to allow special 
use-cases, like manipulating the network stack and accessing devices. There 
should be at least one admission control policy defined which does not 
permit privileged containers. If you need to run privileged containers, 
this should be defined in a separate policy and you should carefully check 
to ensure that only limited service accounts and users are given permission 
to use that policy.

Impact: Pods defined with spec.containers[].securityContext.privileged: 
true, spec.initContainers[].securityContext.privileged: true and 
spec.ephemeralContainers[].securityContext.privileged: true will not be 
permitted.

Audit: Run the following command: 
get pods -A -o=jsonpath=$'{range .items[*]}{@.metadata.name}: 
{@..securityContext}\n{end}'

It will produce an inventory of all the privileged use on the cluster, if 
any (please, refer to a sample below). Further grepping can be done to 
automate each specific violation detection.

calico-kube-controllers-57b57c56f-jtmk4: {} << No Elevated Privileges
calico-nodec4xv4: {} {""privileged"":true} {""privileged"":true} 
{""privileged"":true} {""privileged"":true} << Violates 5.2.2
dashboard-metrics-scraper-7bc864c59-2m2xw: 
{""seccompProfile"":{""type"":""RuntimeDefault""}} 
{""allowPrivilegeEscalation"":false,""readOnlyRootFilesystem"":true,""runAsGroup"":2001,""runAsUser"":1001}

Remediation: Add policies to each namespace in the cluster which has user 
workloads to restrict the admission of privileged containers.

Default Value: By default, there are no restrictions on the creation of 
privileged containers.

References:

   1. 
      <https://kubernetes.io/docs/concepts/security/pod-security-standards/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1025 - Privileged Process Integrity,Application Security,NIST 800-53 v5,SC-7 Boundary Protection
Kubernetes Pod,C-KUBERNETES-POD-CNT-15,Minimize the admission of privileged containers,"CIS Benchmark Recommendation id: 5.2.2

Profile Applicability: Level 1 - Master Node

Description: Do not generally permit containers to be run with the 
securityContext.privileged flag set to true.

Rationale: Privileged containers have access to all Linux Kernel 
capabilities and devices. A container running with full privileges can do 
almost everything that the host can do. This flag exists to allow special 
use-cases, like manipulating the network stack and accessing devices. There 
should be at least one admission control policy defined which does not 
permit privileged containers. If you need to run privileged containers, 
this should be defined in a separate policy and you should carefully check 
to ensure that only limited service accounts and users are given permission 
to use that policy.

Impact: Pods defined with spec.containers[].securityContext.privileged: 
true, spec.initContainers[].securityContext.privileged: true and 
spec.ephemeralContainers[].securityContext.privileged: true will not be 
permitted.

Audit: Run the following command: 
get pods -A -o=jsonpath=$'{range .items[*]}{@.metadata.name}: 
{@..securityContext}\n{end}'

It will produce an inventory of all the privileged use on the cluster, if 
any (please, refer to a sample below). Further grepping can be done to 
automate each specific violation detection.

calico-kube-controllers-57b57c56f-jtmk4: {} << No Elevated Privileges
calico-nodec4xv4: {} {""privileged"":true} {""privileged"":true} 
{""privileged"":true} {""privileged"":true} << Violates 5.2.2
dashboard-metrics-scraper-7bc864c59-2m2xw: 
{""seccompProfile"":{""type"":""RuntimeDefault""}} 
{""allowPrivilegeEscalation"":false,""readOnlyRootFilesystem"":true,""runAsGroup"":2001,""runAsUser"":1001}

Remediation: Add policies to each namespace in the cluster which has user 
workloads to restrict the admission of privileged containers.

Default Value: By default, there are no restrictions on the creation of 
privileged containers.

References:

   1. 
      <https://kubernetes.io/docs/concepts/security/pod-security-standards/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1025 - Privileged Process Integrity,Application Security,NIST 800-53 v5,SC-7 Boundary Protection
Kubernetes Pod,C-KUBERNETES-POD-CNT-08,Minimize the admission of root containers,"CIS Benchmark Recommendation id: 5.2.7

Profile Applicability: Level 2 - Master Node

Description: Do not generally permit containers to be run as the root user.

Rationale: Containers may run as any Linux user. Containers which run as 
the root user, whilst constrained by Container Runtime security features 
still have a escalated likelihood of container breakout. Ideally, all 
containers should run as a defined non-UID 0 user. There should be at least 
one admission control policy defined which does not permit root containers. 
If you need to run root containers, this should be defined in a separate 
policy and you should carefully check to ensure that only limited service 
accounts and users are given permission to use that policy.

Impact: Pods with containers which run as the root user will not be 
permitted.

Audit: List the policies in use for each namespace in the cluster, ensure 
that each policy restricts the use of root containers by setting 
MustRunAsNonRoot or MustRunAs with the range of UIDs not including 0.

Remediation: Create a policy for each namespace in the cluster, ensuring 
that either MustRunAsNonRoot or MustRunAs with the range of UIDs not 
including 0, is set.

Default Value: By default, there are no restrictions on the use of root 
containers and if a User is not specified in the image, the container will 
run as root.

References:

   1. 
      <https://kubernetes.io/docs/concepts/security/pod-security-standards/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1026 - Privileged Account Management,Application Security,NIST 800-53 v5,AC-6 LEAST PRIVILEGE
Kubernetes Pod,C-KUBERNETES-POD-CNT-08,Minimize the admission of root containers,"CIS Benchmark Recommendation id: 5.2.7

Profile Applicability: Level 2 - Master Node

Description: Do not generally permit containers to be run as the root user.

Rationale: Containers may run as any Linux user. Containers which run as 
the root user, whilst constrained by Container Runtime security features 
still have a escalated likelihood of container breakout. Ideally, all 
containers should run as a defined non-UID 0 user. There should be at least 
one admission control policy defined which does not permit root containers. 
If you need to run root containers, this should be defined in a separate 
policy and you should carefully check to ensure that only limited service 
accounts and users are given permission to use that policy.

Impact: Pods with containers which run as the root user will not be 
permitted.

Audit: List the policies in use for each namespace in the cluster, ensure 
that each policy restricts the use of root containers by setting 
MustRunAsNonRoot or MustRunAs with the range of UIDs not including 0.

Remediation: Create a policy for each namespace in the cluster, ensuring 
that either MustRunAsNonRoot or MustRunAs with the range of UIDs not 
including 0, is set.

Default Value: By default, there are no restrictions on the use of root 
containers and if a User is not specified in the image, the container will 
run as root.

References:

   1. 
      <https://kubernetes.io/docs/concepts/security/pod-security-standards/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1026 - Privileged Account Management,Application Security,NIST 800-53 v5,AC-6 LEAST PRIVILEGE
Kubernetes Pod,C-KUBERNETES-POD-CNT-08,Minimize the admission of root containers,"CIS Benchmark Recommendation id: 5.2.7

Profile Applicability: Level 2 - Master Node

Description: Do not generally permit containers to be run as the root user.

Rationale: Containers may run as any Linux user. Containers which run as 
the root user, whilst constrained by Container Runtime security features 
still have a escalated likelihood of container breakout. Ideally, all 
containers should run as a defined non-UID 0 user. There should be at least 
one admission control policy defined which does not permit root containers. 
If you need to run root containers, this should be defined in a separate 
policy and you should carefully check to ensure that only limited service 
accounts and users are given permission to use that policy.

Impact: Pods with containers which run as the root user will not be 
permitted.

Audit: List the policies in use for each namespace in the cluster, ensure 
that each policy restricts the use of root containers by setting 
MustRunAsNonRoot or MustRunAs with the range of UIDs not including 0.

Remediation: Create a policy for each namespace in the cluster, ensuring 
that either MustRunAsNonRoot or MustRunAs with the range of UIDs not 
including 0, is set.

Default Value: By default, there are no restrictions on the use of root 
containers and if a User is not specified in the image, the container will 
run as root.

References:

   1. 
      <https://kubernetes.io/docs/concepts/security/pod-security-standards/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1026 - Privileged Account Management,Application Security,NIST 800-53 v5,AC-6 LEAST PRIVILEGE
Kubernetes Pod,C-KUBERNETES-POD-CNT-08,Minimize the admission of root containers,"CIS Benchmark Recommendation id: 5.2.7

Profile Applicability: Level 2 - Master Node

Description: Do not generally permit containers to be run as the root user.

Rationale: Containers may run as any Linux user. Containers which run as 
the root user, whilst constrained by Container Runtime security features 
still have a escalated likelihood of container breakout. Ideally, all 
containers should run as a defined non-UID 0 user. There should be at least 
one admission control policy defined which does not permit root containers. 
If you need to run root containers, this should be defined in a separate 
policy and you should carefully check to ensure that only limited service 
accounts and users are given permission to use that policy.

Impact: Pods with containers which run as the root user will not be 
permitted.

Audit: List the policies in use for each namespace in the cluster, ensure 
that each policy restricts the use of root containers by setting 
MustRunAsNonRoot or MustRunAs with the range of UIDs not including 0.

Remediation: Create a policy for each namespace in the cluster, ensuring 
that either MustRunAsNonRoot or MustRunAs with the range of UIDs not 
including 0, is set.

Default Value: By default, there are no restrictions on the use of root 
containers and if a User is not specified in the image, the container will 
run as root.

References:

   1. 
      <https://kubernetes.io/docs/concepts/security/pod-security-standards/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1026 - Privileged Account Management,Application Security,NIST 800-53 v5,AC-6 LEAST PRIVILEGE
Kubernetes Pod,C-KUBERNETES-POD-CNT-08,Minimize the admission of root containers,"CIS Benchmark Recommendation id: 5.2.7

Profile Applicability: Level 2 - Master Node

Description: Do not generally permit containers to be run as the root user.

Rationale: Containers may run as any Linux user. Containers which run as 
the root user, whilst constrained by Container Runtime security features 
still have a escalated likelihood of container breakout. Ideally, all 
containers should run as a defined non-UID 0 user. There should be at least 
one admission control policy defined which does not permit root containers. 
If you need to run root containers, this should be defined in a separate 
policy and you should carefully check to ensure that only limited service 
accounts and users are given permission to use that policy.

Impact: Pods with containers which run as the root user will not be 
permitted.

Audit: List the policies in use for each namespace in the cluster, ensure 
that each policy restricts the use of root containers by setting 
MustRunAsNonRoot or MustRunAs with the range of UIDs not including 0.

Remediation: Create a policy for each namespace in the cluster, ensuring 
that either MustRunAsNonRoot or MustRunAs with the range of UIDs not 
including 0, is set.

Default Value: By default, there are no restrictions on the use of root 
containers and if a User is not specified in the image, the container will 
run as root.

References:

   1. 
      <https://kubernetes.io/docs/concepts/security/pod-security-standards/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1026 - Privileged Account Management,Application Security,NIST 800-53 v5,AC-6 LEAST PRIVILEGE
Kubernetes Pod,C-KUBERNETES-POD-CNT-09,Minimize the admission of Windows HostProcess Containers,"CIS Benchmark Recommendation id: 5.2.11

Profile Applicability: Level 1 - Master Node

Description: Do not generally permit Windows containers to be run with the 
hostProcess flag set to true.

Rationale: A Windows container making use of the hostProcess flag can 
interact with the underlying Windows cluster node. As per the Kubernetes 
documentation, this provides ""privileged access"" to the Windows node. Where 
Windows containers are used inside a Kubernetes cluster, there should be at 
least one admission control policy which does not permit hostProcess 
Windows containers. If you need to run Windows containers which require 
hostProcess, this should be defined in a separate policy and you should 
carefully check to ensure that only limited service accounts and users are 
given permission to use that policy.

Impact: Pods defined with securityContext.windowsOptions.hostProcess: true 
will not be permitted unless they are run under a specific policy.

Audit: List the policies in use for each namespace in the cluster, ensure 
that each policy disallows the admission of hostProcess containers.

Remediation: Add policies to each namespace in the cluster which has user 
workloads to restrict the admission of hostProcess containers.

Default Value: By default, there are no restrictions on the creation of 
hostProcess containers.

References:

   1. 
      <https://kubernetes.io/docs/tasks/configure-pod-container/create-hostprocess-pod/>
   2. 
      <https://kubernetes.io/docs/concepts/security/pod-security-standards/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1025 - Privileged Process Integrity,Network Security,NIST 800-53 v5,SC-7 Boundary Protection
Kubernetes Pod,C-KUBERNETES-POD-CNT-09,Minimize the admission of Windows HostProcess Containers,"CIS Benchmark Recommendation id: 5.2.11

Profile Applicability: Level 1 - Master Node

Description: Do not generally permit Windows containers to be run with the 
hostProcess flag set to true.

Rationale: A Windows container making use of the hostProcess flag can 
interact with the underlying Windows cluster node. As per the Kubernetes 
documentation, this provides ""privileged access"" to the Windows node. Where 
Windows containers are used inside a Kubernetes cluster, there should be at 
least one admission control policy which does not permit hostProcess 
Windows containers. If you need to run Windows containers which require 
hostProcess, this should be defined in a separate policy and you should 
carefully check to ensure that only limited service accounts and users are 
given permission to use that policy.

Impact: Pods defined with securityContext.windowsOptions.hostProcess: true 
will not be permitted unless they are run under a specific policy.

Audit: List the policies in use for each namespace in the cluster, ensure 
that each policy disallows the admission of hostProcess containers.

Remediation: Add policies to each namespace in the cluster which has user 
workloads to restrict the admission of hostProcess containers.

Default Value: By default, there are no restrictions on the creation of 
hostProcess containers.

References:

   1. 
      <https://kubernetes.io/docs/tasks/configure-pod-container/create-hostprocess-pod/>
   2. 
      <https://kubernetes.io/docs/concepts/security/pod-security-standards/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1025 - Privileged Process Integrity,Network Security,NIST 800-53 v5,SC-7 Boundary Protection
Kubernetes Pod,C-KUBERNETES-POD-CNT-09,Minimize the admission of Windows HostProcess Containers,"CIS Benchmark Recommendation id: 5.2.11

Profile Applicability: Level 1 - Master Node

Description: Do not generally permit Windows containers to be run with the 
hostProcess flag set to true.

Rationale: A Windows container making use of the hostProcess flag can 
interact with the underlying Windows cluster node. As per the Kubernetes 
documentation, this provides ""privileged access"" to the Windows node. Where 
Windows containers are used inside a Kubernetes cluster, there should be at 
least one admission control policy which does not permit hostProcess 
Windows containers. If you need to run Windows containers which require 
hostProcess, this should be defined in a separate policy and you should 
carefully check to ensure that only limited service accounts and users are 
given permission to use that policy.

Impact: Pods defined with securityContext.windowsOptions.hostProcess: true 
will not be permitted unless they are run under a specific policy.

Audit: List the policies in use for each namespace in the cluster, ensure 
that each policy disallows the admission of hostProcess containers.

Remediation: Add policies to each namespace in the cluster which has user 
workloads to restrict the admission of hostProcess containers.

Default Value: By default, there are no restrictions on the creation of 
hostProcess containers.

References:

   1. 
      <https://kubernetes.io/docs/tasks/configure-pod-container/create-hostprocess-pod/>
   2. 
      <https://kubernetes.io/docs/concepts/security/pod-security-standards/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1025 - Privileged Process Integrity,Network Security,NIST 800-53 v5,SC-7 Boundary Protection
Kubernetes Pod,C-KUBERNETES-POD-CNT-09,Minimize the admission of Windows HostProcess Containers,"CIS Benchmark Recommendation id: 5.2.11

Profile Applicability: Level 1 - Master Node

Description: Do not generally permit Windows containers to be run with the 
hostProcess flag set to true.

Rationale: A Windows container making use of the hostProcess flag can 
interact with the underlying Windows cluster node. As per the Kubernetes 
documentation, this provides ""privileged access"" to the Windows node. Where 
Windows containers are used inside a Kubernetes cluster, there should be at 
least one admission control policy which does not permit hostProcess 
Windows containers. If you need to run Windows containers which require 
hostProcess, this should be defined in a separate policy and you should 
carefully check to ensure that only limited service accounts and users are 
given permission to use that policy.

Impact: Pods defined with securityContext.windowsOptions.hostProcess: true 
will not be permitted unless they are run under a specific policy.

Audit: List the policies in use for each namespace in the cluster, ensure 
that each policy disallows the admission of hostProcess containers.

Remediation: Add policies to each namespace in the cluster which has user 
workloads to restrict the admission of hostProcess containers.

Default Value: By default, there are no restrictions on the creation of 
hostProcess containers.

References:

   1. 
      <https://kubernetes.io/docs/tasks/configure-pod-container/create-hostprocess-pod/>
   2. 
      <https://kubernetes.io/docs/concepts/security/pod-security-standards/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1025 - Privileged Process Integrity,Network Security,NIST 800-53 v5,SC-7 Boundary Protection
Kubernetes Pod,C-KUBERNETES-POD-CNT-09,Minimize the admission of Windows HostProcess Containers,"CIS Benchmark Recommendation id: 5.2.11

Profile Applicability: Level 1 - Master Node

Description: Do not generally permit Windows containers to be run with the 
hostProcess flag set to true.

Rationale: A Windows container making use of the hostProcess flag can 
interact with the underlying Windows cluster node. As per the Kubernetes 
documentation, this provides ""privileged access"" to the Windows node. Where 
Windows containers are used inside a Kubernetes cluster, there should be at 
least one admission control policy which does not permit hostProcess 
Windows containers. If you need to run Windows containers which require 
hostProcess, this should be defined in a separate policy and you should 
carefully check to ensure that only limited service accounts and users are 
given permission to use that policy.

Impact: Pods defined with securityContext.windowsOptions.hostProcess: true 
will not be permitted unless they are run under a specific policy.

Audit: List the policies in use for each namespace in the cluster, ensure 
that each policy disallows the admission of hostProcess containers.

Remediation: Add policies to each namespace in the cluster which has user 
workloads to restrict the admission of hostProcess containers.

Default Value: By default, there are no restrictions on the creation of 
hostProcess containers.

References:

   1. 
      <https://kubernetes.io/docs/tasks/configure-pod-container/create-hostprocess-pod/>
   2. 
      <https://kubernetes.io/docs/concepts/security/pod-security-standards/>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1025 - Privileged Process Integrity,Network Security,NIST 800-53 v5,SC-7 Boundary Protection
Kubernetes Cluster,C-KUBERNETES-CLUSTER-CNT-11,Minimize wildcard use in Roles and ClusterRoles,"CIS Benchmark Recommendation id: 5.1.3

Profile Applicability: Level 1 - Worker Node

Description: Kubernetes Roles and ClusterRoles provide access to resources 
based on sets of objects and actions that can be taken on those objects. It 
is possible to set either of these to be the wildcard ""*"" which matches all 
items. Use of wildcards is not optimal from a security perspective as it 
may allow for inadvertent access to be granted when new resources are added 
to the Kubernetes API either as CRDs or in later versions of the product.

Rationale: The principle of least privilege recommends that users are 
provided only the access required for their role and nothing more. The use 
of wildcard rights grants is likely to provide excessive rights to the 
Kubernetes API.

Impact: None

Audit: Retrieve the roles defined across each namespace in the cluster and 
review for wildcards
kubectl get roles --all-namespaces -o yaml

Retrieve the cluster roles defined in the cluster and review for wildcards
kubectl get clusterroles -o yaml

Remediation: Where possible replace any use of wildcards in clusterroles 
and roles with specific objects or actions.

Default Value: None

References:
N/A",Created by Rules Engine,Recommended,Not tested,High,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1026 - Privileged Account Management,Cloud Security,NIST 800-53 v5,AC-6 LEAST PRIVILEGE
